time,phi,theta,psi,p,q,r,vtas,Mach,alpha,beta,gamma,Ax,Ay,Az,da,de,dr,dta,dte,dtr,flaps,gear,Tc1,Tc2,u_n,v_n,w_n
0.1,-3.22415203533994e-17,0.0790083585618939,-5.16850953994057e-17,-4.8484057434042e-16,-3.3847727101666e-15,-1.05107107515584e-15,80,0.237788873409609,0.0790083585618958,7.65359210158083e-14,-1.84297022087776e-15,0.773758553262624,-6.34221276274561e-13,-9.7729895994833,-2.05850974727246e-14,-0.0429869122185295,1.24938539551573e-13,0,0,0,0,1,0.673086199299627,0.673086199299627,80,6.11894244964862e-12,1.47437617670221e-13
0.11,-3.80995570456847e-17,0.0790083585618939,-6.27769603944748e-17,-5.11182735013951e-16,-3.74292023795025e-15,-1.16039188562422e-15,80,0.237788873409609,0.0790083585618959,7.6467266748293e-14,-2.02060590481778e-15,0.773758553262626,-6.33637773235289e-13,-9.77298959948331,-2.05850974727246e-14,-0.0429869122185295,1.24938539551573e-13,0,0,0,0,1,0.673086199299627,0.673086199299627,80,6.11259974724679e-12,1.61648472385423e-13
0.12,-4.4293075666422e-17,0.0790083585618938,-7.49655159046609e-17,-5.3466404652815e-16,-4.10256425769656e-15,-1.26970078502958e-15,80,0.237788873409609,0.0790083585618961,7.63997462731046e-14,-2.19824158875781e-15,0.773758553262628,-6.33085797678525e-13,-9.77298959948333,-2.05850974727246e-14,-0.0429869122185295,1.24938539551573e-13,0,0,0,0,1,0.673086199299627,0.673086199299627,80,6.1062621312546e-12,1.75859327100625e-13
0.13,-5.07945317998498e-17,0.0790083585618938,-8.824993929121e-17,-5.55507438024707e-16,-4.46479753582694e-15,-1.37885992275933e-15,80,0.237788873409609,0.0790083585618962,7.63333567430396e-14,-2.37587727269783e-15,0.77375855326263,-6.32563215620169e-13,-9.77298959948334,-2.05850974727246e-14,-0.0429869122185295,1.24938539551573e-13,0,0,0,0,1,0.673086199299627,0.673086199299627,80,6.09992926578882e-12,1.90070181815827e-13
0.14,-5.75784227005681e-17,0.0790083585618938,-1.02628093550764e-16,-5.73919284660471e-16,-4.82760792591582e-15,-1.48774489883398e-15,80,0.237788873409609,0.0790083585618963,7.62680941239406e-14,-2.55351295663786e-15,0.773758553262631,-6.3206806004553e-13,-9.77298959948335,-2.05850974727246e-14,-0.0429869122185295,1.24938539551573e-13,0,0,0,0,1,0.673086199299627,0.673086199299627,80,6.09360083805038e-12,2.04281036531029e-13
0.15,-6.46211384459255e-17,0.0790083585618937,-1.18096656458119e-16,-5.90090689745626e-16,-5.1910501748384e-15,-1.59624362683915e-15,80,0.237788873409609,0.0790083585618964,7.62039533131686e-14,-2.73114864057789e-15,0.773758553262633,-6.31598517427457e-13,-9.77298959948336,-2.05850974727246e-14,-0.0429869122185295,1.24938539551573e-13,0,0,0,0,1,0.673086199299627,0.673086199299627,80,6.08727655653087e-12,2.18491891246231e-13
0.16,-7.19008245287448e-17,0.0790083585618936,-1.3465123877741e-16,-6.04198664660562e-16,-5.556056222078e-15,-1.70425529018362e-15,80,0.237788873409609,0.0790083585618965,7.61409282480311e-14,-2.89768209427166e-15,0.773758553262634,-6.31152915333818e-13,-9.77298959948337,-2.05850974727246e-14,-0.0429869122185295,1.24938539551573e-13,0,0,0,0,1,0.673086199299627,0.673086199299627,80,6.08095614936235e-12,2.31814567541733e-13
0.17,-7.93972549807421e-17,0.0790083585618936,-1.52286492439396e-16,-6.16407214779377e-16,-5.9193893497535e-15,-1.8116893841105e-15,80,0.237788873409609,0.0790083585618967,7.60790120049926e-14,-3.06421554796543e-15,0.773758553262636,-6.30729711036587e-13,-9.77298959948338,-2.05850974727246e-14,-0.0429869122185295,1.24938539551573e-13,0,0,0,0,1,0.673086199299627,0.673086199299627,80,6.07463936279882e-12,2.45137243837235e-13
0.18,-8.7091715190157e-17,0.0790083585618935,-1.70996209509631e-16,-6.26868338965215e-16,-6.28401481391842e-15,-1.91846483649978e-15,80,0.237788873409609,0.0790083585618968,7.60181968904248e-14,-3.23074900165921e-15,0.773758553262637,-6.30327481041887e-13,-9.77298959948339,-2.05850974727246e-14,-0.0429869122185295,1.24938539551573e-13,0,0,0,0,1,0.673086199299627,0.673086199299627,80,6.06832595981895e-12,2.58459920132736e-13
0.19,-9.49668936443921e-17,0.0790083585618935,-1.90773412705382e-16,-6.35722949593086e-16,-6.64830921293739e-15,-2.02450920106167e-15,80,0.237788873409609,0.0790083585618969,7.59584745235946e-14,-3.39728245535298e-15,0.773758553262639,-6.29944911466769e-13,-9.7729895994834,-2.05850974727246e-14,-0.0429869122185295,1.24938539551573e-13,0,0,0,0,1,0.673086199299627,0.673086199299627,80,6.06201571884018e-12,2.71782596428238e-13
