Measurement,Mean,Std,Lag1Correlation,FractionWithin3Sigma,LjungBoxStatistic,LjungBoxPValue,WhitenessAccepted
x_GPS,0.0176292531940886,0.997591410573941,0.00133282292671932,0.998813760379597,18.5402060815228,0.818617586691697,1
y_GPS,0.00959856542143269,0.990533110119163,0.0126845999695052,0.998474834773767,21.3678066600257,0.671931817529038,1
z_GPS,-0.00222353776408058,0.999117590615916,-0.0157000167587455,0.996949669547534,15.6553751587192,0.924705723962163,1
V_N_GPS,0.00198806356041099,0.999973261200388,0.0175170823625707,0.996102355532961,29.6275158205559,0.238539385060753,1
V_E_GPS,-0.00422001999076856,0.993284200147216,0.00888610815834097,0.998305371970852,26.7889746378236,0.366508608486492,1
V_D_GPS,-0.00196289131076875,0.988152623753074,0.0103785174848875,0.997288595153364,24.9356152246729,0.465986658218372,1
phi_GPS,-0.0131829542153854,1.12725910849667,0.195570453997253,0.987290289781393,4887.30608878025,0,0
theta_GPS,0.00664503028041295,1.00599550099996,0.0142274179480202,0.99644128113879,23.7020763673522,0.536636758404804,1
psi_GPS,-0.0209832463819677,1.00844055205741,0.00826983051581651,0.997627520759193,36.9479133468177,0.0583970085536798,1
V_airdata,-0.00321622345588734,1.00492936477486,0.00178442747260415,0.997119132350449,17.3928179040896,0.867055533609512,1
alpha_airdata,-0.00118498141959576,0.996520621664838,0.0537124364374334,0.996949669547534,50.4711367055594,0.00186358022497924,0
beta_airdata,0.00372580811910279,0.990408456658377,0.00829980652279502,0.997458057956279,29.4315180009963,0.246281269559171,1
