Measurement,Mean,Std,Lag1Correlation,FractionWithin3Sigma,LjungBoxStatistic,LjungBoxPValue,WhitenessAccepted
x_GPS,0.0176111743789884,0.997591801646318,0.00133360307507313,0.998813760379597,18.5395397300471,0.81864792211628,1
y_GPS,0.0096033092299761,0.990533270752663,0.0126849350995721,0.998474834773767,21.3677926299721,0.671932612295682,1
z_GPS,-0.00221602984664679,0.999117478553148,-0.015700238364581,0.996949669547534,15.6554766993125,0.924702927205592,1
V_N_GPS,0.00175132488372106,0.999965753580731,0.0175293475231237,0.995932892730046,29.6407758635436,0.238021675732679,1
V_E_GPS,-0.00308983780176965,0.99328819915755,0.00888791191575273,0.998305371970852,26.7820324384093,0.366860856104442,1
V_D_GPS,-0.00179418556335818,0.988150518787921,0.0103731835952478,0.997458057956279,24.9366606434104,0.465927920951005,1
phi_GPS,-0.0137251443796082,1.12725460110256,0.195563632049888,0.987290289781393,4887.00040949204,0,0
theta_GPS,0.00572101302175088,1.0060003156887,0.0142351867367898,0.99644128113879,23.6953402567048,0.537028081201709,1
psi_GPS,-0.0217569280067835,1.00846407069858,0.00831494112584926,0.997627520759193,37.0535474802762,0.0570649509365141,1
V_airdata,-0.00543406489520386,1.0049392790852,0.00183600851143448,0.997119132350449,17.360445096641,0.868306939395465,1
alpha_airdata,-1.48513500846667e-05,0.996536970167438,0.0537335441939058,0.996949669547534,50.4726666193658,0.00186276588591681,0
beta_airdata,-0.00248306707365087,0.990373277353149,0.00822974011206814,0.997288595153364,29.4841340482226,0.244186473310794,1
